machine,dataset,engine,read_len,num_reads,time_s,gcups,hga_threads
a30,brca2_150,hga,150,1,2.28203,0.00559332,8704
a30,brca2_150,gpu_multi,150,1,0.07932333333333334,0.16091229986973146,
a30,brca2_150,cpu_multi,150,1,0.009956333333333333,1.2820081020455991,
a30,brca2_150,hga,150,16,2.23322,0.0914488,8704
a30,brca2_150,gpu_multi,150,16,0.08086700000000001,2.52545043095453,
a30,brca2_150,cpu_multi,150,16,0.017702,11.53686589085979,
a30,brca2_150,hga,150,64,2.27254,0.359467,8704
a30,brca2_150,gpu_multi,150,64,0.08569566666666667,9.532598692271488,
a30,brca2_150,cpu_multi,150,64,0.03749566666666667,21.786581560535883,
a30,brca2_150,hga,150,256,2.4468,1.33546,8704
a30,brca2_150,gpu_multi,150,256,0.10913566666666667,29.940803953489084,
a30,brca2_150,cpu_multi,150,256,0.15081600000000003,21.666199872692548,
a30,brca2_150,hga,150,1024,2.47058,5.29044,8704
a30,brca2_150,gpu_multi,150,1024,0.2345453333333333,55.72670414816753,
a30,brca2_150,cpu_multi,150,1024,0.6167426666666667,21.19269365721414,
a30,brca2_150,hga,150,4096,2.57206,20.3268,8704
a30,brca2_150,hga,150,8704,2.54201,43.7051,8704
a30,brca2_150,hga,150,17408,5.08368,43.708,8704
a30,brca2_1500,hga,1500,1,22.1585,0.00576037,8704
a30,brca2_1500,gpu_multi,1500,1,0.7314113333333333,0.1745132925658795,
a30,brca2_1500,cpu_multi,1500,1,0.06789866666666666,1.8798749116330218,
a30,brca2_1500,hga,1500,16,22.1608,0.0921561,8704
a30,brca2_1500,gpu_multi,1500,16,0.80319,2.5426810592761364,
a30,brca2_1500,cpu_multi,1500,16,0.1952946666666667,10.457305541711326,
a30,brca2_1500,hga,1500,64,22.7362,0.359295,8704
a30,brca2_1500,gpu_multi,1500,64,1.0221706666666666,7.991839588431417,
a30,brca2_1500,cpu_multi,1500,64,0.5374836666666667,15.19864603637568,
a30,brca2_1500,hga,1500,256,24.4996,1.33374,8704
a30,brca2_1500,gpu_multi,1500,256,1.9880706666666665,16.436083760939418,
a30,brca2_1500,cpu_multi,1500,256,2.1276040000000003,15.358166275303109,
a30,brca2_1500,hga,1500,1024,24.6804,5.29588,8704
a30,brca2_1500,gpu_multi,1500,1024,6.175741666666667,21.164159878233246,
a30,brca2_1500,cpu_multi,1500,1024,8.583028333333333,15.228236343155494,
a30,brca2_1500,hga,1500,4096,24.8491,21.0397,8704
a30,brca2_1500,hga,1500,8704,25.3437,43.8369,8704
a30,brca2_1500,hga,1500,17408,50.6894,43.8351,8704
