machine,dataset,mode,version,label,kernel,total_ms,launch_ms,gpu_levels,wait_ms,syncs,cpu_ms,cpu_levels,traceback_ms
a30,150_10,2,4,hybrid_warps,warps,139.24,0.04,16,25.51,3,112.68,3728,0.19
a30,150_10,2,4,hybrid_warps,warps,144.22,0.04,16,25.93,3,116.95,3728,0.23
a30,150_10,2,4,hybrid_warps,warps,139.68,0.05,16,25.49,3,113.12,3728,0.19
a30,150_10,2,4,hybrid_warps,warps,139.73,0.04,16,25.61,3,113.09,3728,0.19
a30,150_10,2,5,hybrid_registers,registers,135.85,0.04,16,23.14,3,111.58,3728,0.2
a30,150_10,2,5,hybrid_registers,registers,141.19,0.07,16,23.21,3,116.08,3728,0.29
a30,150_10,2,5,hybrid_registers,registers,148.79,0.06,16,23.06,3,123.63,3728,0.25
a30,150_10,2,5,hybrid_registers,registers,137.44,0.06,16,22.88,3,113.01,3728,0.2
a30,150_10,2,6,hybrid_merged_req,merged_req,138.35,0.04,16,24.53,3,112.76,3728,0.18
a30,150_10,2,6,hybrid_merged_req,merged_req,142.19,0.07,16,24.62,3,116.28,3728,0.22
a30,150_10,2,6,hybrid_merged_req,merged_req,138.12,0.04,16,24.71,3,112.38,3728,0.18
a30,150_10,2,6,hybrid_merged_req,merged_req,137.84,0.04,16,24.55,3,112.3,3728,0.18
a30,brca2_150,2,4,hybrid_warps,warps,11.74,0.0,0,0.0,0,11.51,1056,0.06
a30,brca2_150,2,4,hybrid_warps,warps,11.45,0.0,0,0.0,0,11.24,1056,0.06
a30,brca2_150,2,4,hybrid_warps,warps,11.43,0.0,0,0.0,0,11.23,1056,0.06
a30,brca2_150,2,4,hybrid_warps,warps,11.68,0.0,0,0.0,0,11.48,1056,0.06
a30,brca2_150,2,5,hybrid_registers,registers,11.69,0.0,0,0.0,0,11.47,1056,0.06
a30,brca2_150,2,5,hybrid_registers,registers,11.41,0.0,0,0.0,0,11.21,1056,0.06
a30,brca2_150,2,5,hybrid_registers,registers,11.37,0.0,0,0.0,0,11.17,1056,0.06
a30,brca2_150,2,5,hybrid_registers,registers,11.33,0.0,0,0.0,0,11.13,1056,0.06
a30,brca2_150,2,6,hybrid_merged_req,merged_req,11.76,0.0,0,0.0,0,11.52,1056,0.06
a30,brca2_150,2,6,hybrid_merged_req,merged_req,11.46,0.0,0,0.0,0,11.26,1056,0.06
a30,brca2_150,2,6,hybrid_merged_req,merged_req,11.32,0.0,0,0.0,0,11.12,1056,0.06
a30,brca2_150,2,6,hybrid_merged_req,merged_req,11.35,0.0,0,0.0,0,11.15,1056,0.06
a30,brca2_1500,2,4,hybrid_warps,warps,82.29,0.0,0,0.0,0,77.68,1056,4.41
a30,brca2_1500,2,4,hybrid_warps,warps,82.44,0.0,0,0.0,0,77.86,1056,4.41
a30,brca2_1500,2,4,hybrid_warps,warps,82.33,0.0,0,0.0,0,77.65,1056,4.51
a30,brca2_1500,2,4,hybrid_warps,warps,82.09,0.0,0,0.0,0,77.52,1056,4.41
a30,brca2_1500,2,5,hybrid_registers,registers,82.29,0.0,0,0.0,0,77.69,1056,4.41
a30,brca2_1500,2,5,hybrid_registers,registers,82.41,0.0,0,0.0,0,77.84,1056,4.4
a30,brca2_1500,2,5,hybrid_registers,registers,82.35,0.0,0,0.0,0,77.76,1056,4.42
a30,brca2_1500,2,5,hybrid_registers,registers,82.17,0.0,0,0.0,0,77.61,1056,4.4
a30,brca2_1500,2,6,hybrid_merged_req,merged_req,83.0,0.0,0,0.0,0,78.39,1056,4.41
a30,brca2_1500,2,6,hybrid_merged_req,merged_req,82.66,0.0,0,0.0,0,77.98,1056,4.51
a30,brca2_1500,2,6,hybrid_merged_req,merged_req,82.45,0.0,0,0.0,0,77.89,1056,4.4
a30,brca2_1500,2,6,hybrid_merged_req,merged_req,83.09,0.0,0,0.0,0,78.52,1056,4.4
