machine,dataset,mode,version,label,group,part,iter,time_s,align_len,identity
a30,150_10,0,0,cpu_sequential,cpu,matrix,-1,3.932271,156,89.74
a30,150_10,0,0,cpu_sequential,cpu,matrix,0,3.945321,156,89.74
a30,150_10,0,0,cpu_sequential,cpu,matrix,1,3.924318,156,89.74
a30,150_10,0,0,cpu_sequential,cpu,matrix,2,3.925947,156,89.74
a30,150_10,0,1,cpu_simd,cpu,matrix,-1,0.984193,156,89.74
a30,150_10,0,1,cpu_simd,cpu,matrix,0,0.985817,156,89.74
a30,150_10,0,1,cpu_simd,cpu,matrix,1,0.964509,156,89.74
a30,150_10,0,1,cpu_simd,cpu,matrix,2,0.965166,156,89.74
a30,150_10,0,3,cpu_parallel_node,cpu,matrix,-1,0.239326,156,89.74
a30,150_10,0,3,cpu_parallel_node,cpu,matrix,0,0.239777,156,89.74
a30,150_10,0,3,cpu_parallel_node,cpu,matrix,1,0.256874,156,89.74
a30,150_10,0,3,cpu_parallel_node,cpu,matrix,2,0.261271,156,89.74
a30,150_10,1,0,gpu_naive,gpu,matrix,-1,11.1062,156,89.74
a30,150_10,1,0,gpu_naive,gpu,matrix,0,10.76999,156,89.74
a30,150_10,1,0,gpu_naive,gpu,matrix,1,10.805905,156,89.74
a30,150_10,1,0,gpu_naive,gpu,matrix,2,10.450253,156,89.74
a30,150_10,1,2,gpu_parallel_node,gpu,matrix,-1,1.232887,156,89.74
a30,150_10,1,2,gpu_parallel_node,gpu,matrix,0,1.232188,156,89.74
a30,150_10,1,2,gpu_parallel_node,gpu,matrix,1,1.232503,156,89.74
a30,150_10,1,2,gpu_parallel_node,gpu,matrix,2,1.231663,156,89.74
a30,150_10,1,3,gpu_parallel_async,gpu,matrix,-1,1.020278,156,89.74
a30,150_10,1,3,gpu_parallel_async,gpu,matrix,0,1.020342,156,89.74
a30,150_10,1,3,gpu_parallel_async,gpu,matrix,1,1.020399,156,89.74
a30,150_10,1,3,gpu_parallel_async,gpu,matrix,2,1.019557,156,89.74
