machine,dataset,mode,version,label,kernel,total_ms,launch_ms,gpu_levels,wait_ms,syncs,cpu_ms,cpu_levels,traceback_ms
spark,150_10,2,4,hybrid_warps,warps,79.06,0.06,16,19.76,3,58.43,3728,0.13
spark,150_10,2,4,hybrid_warps,warps,64.87,0.06,16,19.75,3,44.27,3728,0.13
spark,150_10,2,4,hybrid_warps,warps,61.38,0.05,16,19.46,3,41.06,3728,0.12
spark,150_10,2,4,hybrid_warps,warps,68.4,0.06,16,19.42,3,48.12,3728,0.14
spark,150_10,2,5,hybrid_registers,registers,71.94,0.07,16,19.82,3,51.24,3728,0.13
spark,150_10,2,5,hybrid_registers,registers,64.11,0.07,16,19.78,3,43.56,3728,0.12
spark,150_10,2,5,hybrid_registers,registers,67.08,0.08,16,19.71,3,46.52,3728,0.13
spark,150_10,2,5,hybrid_registers,registers,80.36,0.08,16,19.86,3,59.6,3728,0.13
spark,150_10,2,6,hybrid_merged_req,merged_req,73.68,0.07,16,21.81,3,50.98,3728,0.13
spark,150_10,2,6,hybrid_merged_req,merged_req,66.33,0.04,16,22.01,3,43.56,3728,0.13
spark,150_10,2,6,hybrid_merged_req,merged_req,72.8,0.06,16,21.93,3,49.97,3728,0.14
spark,150_10,2,6,hybrid_merged_req,merged_req,70.32,0.08,16,22.01,3,47.43,3728,0.13
spark,brca2_150,2,4,hybrid_warps,warps,5.73,0.0,0,0.0,0,5.48,1056,0.06
spark,brca2_150,2,4,hybrid_warps,warps,5.62,0.0,0,0.0,0,5.39,1056,0.06
spark,brca2_150,2,4,hybrid_warps,warps,8.26,0.0,0,0.0,0,7.86,1056,0.06
spark,brca2_150,2,4,hybrid_warps,warps,5.73,0.0,0,0.0,0,5.42,1056,0.06
spark,brca2_150,2,5,hybrid_registers,registers,7.53,0.0,0,0.0,0,7.27,1056,0.06
spark,brca2_150,2,5,hybrid_registers,registers,7.75,0.0,0,0.0,0,7.53,1056,0.06
spark,brca2_150,2,5,hybrid_registers,registers,10.84,0.0,0,0.0,0,10.45,1056,0.06
spark,brca2_150,2,5,hybrid_registers,registers,8.09,0.0,0,0.0,0,7.78,1056,0.06
spark,brca2_150,2,6,hybrid_merged_req,merged_req,7.36,0.0,0,0.0,0,7.1,1056,0.06
spark,brca2_150,2,6,hybrid_merged_req,merged_req,11.4,0.0,0,0.0,0,11.01,1056,0.06
spark,brca2_150,2,6,hybrid_merged_req,merged_req,7.65,0.0,0,0.0,0,7.29,1056,0.06
spark,brca2_150,2,6,hybrid_merged_req,merged_req,6.75,0.0,0,0.0,0,6.43,1056,0.06
spark,brca2_1500,2,4,hybrid_warps,warps,37.02,0.0,0,0.0,0,32.08,1056,4.67
spark,brca2_1500,2,4,hybrid_warps,warps,34.87,0.0,0,0.0,0,29.98,1056,4.62
spark,brca2_1500,2,4,hybrid_warps,warps,38.95,0.0,0,0.0,0,33.91,1056,4.68
spark,brca2_1500,2,4,hybrid_warps,warps,39.49,0.0,0,0.0,0,34.48,1056,4.61
spark,brca2_1500,2,5,hybrid_registers,registers,36.34,0.0,0,0.0,0,31.45,1056,4.65
spark,brca2_1500,2,5,hybrid_registers,registers,35.24,0.0,0,0.0,0,30.38,1056,4.62
spark,brca2_1500,2,5,hybrid_registers,registers,39.9,0.0,0,0.0,0,34.91,1056,4.65
spark,brca2_1500,2,5,hybrid_registers,registers,33.88,0.0,0,0.0,0,28.85,1056,4.66
spark,brca2_1500,2,6,hybrid_merged_req,merged_req,35.59,0.0,0,0.0,0,30.7,1056,4.66
spark,brca2_1500,2,6,hybrid_merged_req,merged_req,38.61,0.0,0,0.0,0,33.56,1056,4.71
spark,brca2_1500,2,6,hybrid_merged_req,merged_req,38.56,0.0,0,0.0,0,33.5,1056,4.67
spark,brca2_1500,2,6,hybrid_merged_req,merged_req,36.54,0.0,0,0.0,0,31.56,1056,4.67
