machine,dataset,mode,version,label,group,part,iter,time_s,align_len,identity
spark,150_10,0,0,cpu_sequential,cpu,matrix,-1,3.962559,156,89.74
spark,150_10,0,0,cpu_sequential,cpu,matrix,0,3.9609,156,89.74
spark,150_10,0,0,cpu_sequential,cpu,matrix,1,3.960943,156,89.74
spark,150_10,0,0,cpu_sequential,cpu,matrix,2,3.962107,156,89.74
spark,150_10,0,1,cpu_simd,cpu,matrix,-1,0.462741,156,89.74
spark,150_10,0,1,cpu_simd,cpu,matrix,0,0.464049,156,89.74
spark,150_10,0,1,cpu_simd,cpu,matrix,1,0.4641,156,89.74
spark,150_10,0,1,cpu_simd,cpu,matrix,2,0.463755,156,89.74
spark,150_10,0,3,cpu_parallel_node,cpu,matrix,-1,0.134259,156,89.74
spark,150_10,0,3,cpu_parallel_node,cpu,matrix,0,0.137006,156,89.74
spark,150_10,0,3,cpu_parallel_node,cpu,matrix,1,0.140413,156,89.74
spark,150_10,0,3,cpu_parallel_node,cpu,matrix,2,0.133234,156,89.74
spark,150_10,1,0,gpu_naive,gpu,matrix,-1,8.692638,156,89.74
spark,150_10,1,0,gpu_naive,gpu,matrix,0,8.688531,156,89.74
spark,150_10,1,0,gpu_naive,gpu,matrix,1,8.688941,156,89.74
spark,150_10,1,0,gpu_naive,gpu,matrix,2,8.690085,156,89.74
spark,150_10,1,2,gpu_parallel_node,gpu,matrix,-1,1.069807,156,89.74
spark,150_10,1,2,gpu_parallel_node,gpu,matrix,0,1.069823,156,89.74
spark,150_10,1,2,gpu_parallel_node,gpu,matrix,1,1.069748,156,89.74
spark,150_10,1,2,gpu_parallel_node,gpu,matrix,2,1.070446,156,89.74
spark,150_10,1,3,gpu_parallel_async,gpu,matrix,-1,0.856173,156,89.74
spark,150_10,1,3,gpu_parallel_async,gpu,matrix,0,0.858331,156,89.74
spark,150_10,1,3,gpu_parallel_async,gpu,matrix,1,0.858041,156,89.74
spark,150_10,1,3,gpu_parallel_async,gpu,matrix,2,0.859451,156,89.74
spark,150_10,1,4,gpu_async_monolithic,gpu,matrix,-1,0.727821,156,89.74
spark,150_10,1,4,gpu_async_monolithic,gpu,matrix,0,0.727362,156,89.74
spark,150_10,1,4,gpu_async_monolithic,gpu,matrix,1,0.728145,156,89.74
spark,150_10,1,4,gpu_async_monolithic,gpu,matrix,2,0.728167,156,89.74
spark,150_10,1,5,gpu_async_batching,gpu,matrix,-1,0.724353,156,89.74
spark,150_10,1,5,gpu_async_batching,gpu,matrix,0,0.724523,156,89.74
spark,150_10,1,5,gpu_async_batching,gpu,matrix,1,0.724,156,89.74
spark,150_10,1,5,gpu_async_batching,gpu,matrix,2,0.724948,156,89.74
spark,150_10,1,7,gpu_shared_mem,gpu,matrix,-1,0.336888,156,89.74
spark,150_10,1,7,gpu_shared_mem,gpu,matrix,0,0.33767,156,89.74
spark,150_10,1,7,gpu_shared_mem,gpu,matrix,1,0.336913,156,89.74
spark,150_10,1,7,gpu_shared_mem,gpu,matrix,2,0.337328,156,89.74
spark,150_10,2,0,hybrid_base,hybrid,matrix,-1,0.177478,156,89.74
spark,150_10,2,0,hybrid_base,hybrid,matrix,0,0.178264,156,89.74
spark,150_10,2,0,hybrid_base,hybrid,matrix,1,0.169489,156,89.74
spark,150_10,2,0,hybrid_base,hybrid,matrix,2,0.186592,156,89.74
spark,150_10,2,1,hybrid_unified,hybrid,matrix,-1,0.111496,156,89.74
spark,150_10,2,1,hybrid_unified,hybrid,matrix,0,0.103197,156,89.74
spark,150_10,2,1,hybrid_unified,hybrid,matrix,1,0.107154,156,89.74
spark,150_10,2,1,hybrid_unified,hybrid,matrix,2,0.104639,156,89.74
spark,150_10,2,2,hybrid_pinned,hybrid,matrix,-1,0.109334,156,89.74
spark,150_10,2,2,hybrid_pinned,hybrid,matrix,0,0.122714,156,89.74
spark,150_10,2,2,hybrid_pinned,hybrid,matrix,1,0.114471,156,89.74
spark,150_10,2,2,hybrid_pinned,hybrid,matrix,2,0.124532,156,89.74
spark,150_10,2,3,hybrid_advised,hybrid,matrix,-1,0.122613,156,89.74
spark,150_10,2,3,hybrid_advised,hybrid,matrix,0,0.102124,156,89.74
spark,150_10,2,3,hybrid_advised,hybrid,matrix,1,0.100041,156,89.74
spark,150_10,2,3,hybrid_advised,hybrid,matrix,2,0.103955,156,89.74
spark,150_10,0,4,cpu_last_col,fair,lastcol,-1,0.093766,156,89.74
spark,150_10,0,4,cpu_last_col,fair,lastcol,0,0.092068,156,89.74
spark,150_10,0,4,cpu_last_col,fair,lastcol,1,0.091873,156,89.74
spark,150_10,0,4,cpu_last_col,fair,lastcol,2,0.089427,156,89.74
spark,150_10,1,8,gpu_last_col,gpu,lastcol,-1,0.236955,156,89.74
spark,150_10,1,8,gpu_last_col,gpu,lastcol,0,0.237161,156,89.74
spark,150_10,1,8,gpu_last_col,gpu,lastcol,1,0.237749,156,89.74
spark,150_10,1,8,gpu_last_col,gpu,lastcol,2,0.237238,156,89.74
spark,150_10,1,9,gpu_warps,gpu,lastcol,-1,0.425091,156,89.74
spark,150_10,1,9,gpu_warps,gpu,lastcol,0,0.42549,156,89.74
spark,150_10,1,9,gpu_warps,gpu,lastcol,1,0.424819,156,89.74
spark,150_10,1,9,gpu_warps,gpu,lastcol,2,0.425061,156,89.74
spark,150_10,1,10,gpu_registers,gpu,lastcol,-1,0.591653,156,89.74
spark,150_10,1,10,gpu_registers,gpu,lastcol,0,0.591851,156,89.74
spark,150_10,1,10,gpu_registers,gpu,lastcol,1,0.59193,156,89.74
spark,150_10,1,10,gpu_registers,gpu,lastcol,2,0.591604,156,89.74
spark,150_10,1,12,gpu_merged_req,gpu,lastcol,-1,0.575539,156,89.74
spark,150_10,1,12,gpu_merged_req,gpu,lastcol,0,0.575631,156,89.74
spark,150_10,1,12,gpu_merged_req,gpu,lastcol,1,0.5756,156,89.74
spark,150_10,1,12,gpu_merged_req,gpu,lastcol,2,0.575419,156,89.74
spark,150_10,2,4,hybrid_warps,hybrid,lastcol,-1,0.079074,156,89.74
spark,150_10,2,4,hybrid_warps,hybrid,lastcol,0,0.064878,156,89.74
spark,150_10,2,4,hybrid_warps,hybrid,lastcol,1,0.061396,156,89.74
spark,150_10,2,4,hybrid_warps,hybrid,lastcol,2,0.068418,156,89.74
spark,150_10,2,5,hybrid_registers,hybrid,lastcol,-1,0.071956,156,89.74
spark,150_10,2,5,hybrid_registers,hybrid,lastcol,0,0.064117,156,89.74
spark,150_10,2,5,hybrid_registers,hybrid,lastcol,1,0.067089,156,89.74
spark,150_10,2,5,hybrid_registers,hybrid,lastcol,2,0.080374,156,89.74
spark,150_10,2,6,hybrid_merged_req,hybrid,lastcol,-1,0.073689,156,89.74
spark,150_10,2,6,hybrid_merged_req,hybrid,lastcol,0,0.066343,156,89.74
spark,150_10,2,6,hybrid_merged_req,hybrid,lastcol,1,0.072809,156,89.74
spark,150_10,2,6,hybrid_merged_req,hybrid,lastcol,2,0.070336,156,89.74
spark,150_10,3,0,nocopy_naive,nocopy,matrix,-1,5.260799,156,89.74
spark,150_10,3,0,nocopy_naive,nocopy,matrix,0,5.261504,156,89.74
spark,150_10,3,0,nocopy_naive,nocopy,matrix,1,5.25443,156,89.74
spark,150_10,3,0,nocopy_naive,nocopy,matrix,2,5.257855,156,89.74
spark,150_10,3,2,nocopy_level,nocopy,matrix,-1,0.548483,156,89.74
spark,150_10,3,2,nocopy_level,nocopy,matrix,0,0.548486,156,89.74
spark,150_10,3,2,nocopy_level,nocopy,matrix,1,0.548498,156,89.74
spark,150_10,3,2,nocopy_level,nocopy,matrix,2,0.549275,156,89.74
spark,150_10,3,6,nocopy_shared_mem,nocopy,matrix,-1,0.34725,156,89.74
spark,150_10,3,6,nocopy_shared_mem,nocopy,matrix,0,0.346371,156,89.74
spark,150_10,3,6,nocopy_shared_mem,nocopy,matrix,1,0.347594,156,89.74
spark,150_10,3,6,nocopy_shared_mem,nocopy,matrix,2,0.347188,156,89.74
spark,150_10,3,7,nocopy_last_col,nocopy,lastcol,-1,0.233734,156,89.74
spark,150_10,3,7,nocopy_last_col,nocopy,lastcol,0,0.233557,156,89.74
spark,150_10,3,7,nocopy_last_col,nocopy,lastcol,1,0.233859,156,89.74
spark,150_10,3,7,nocopy_last_col,nocopy,lastcol,2,0.233778,156,89.74
